218.25.54.12 - - [26/Sep/2013:04:45:22 -0300] "GET /manager/html HTTP/1.1" 404 975
143.107.162.166 - - [26/Sep/2013:12:20:55 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:56 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:56 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:56 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:56 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:57 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:57 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:57 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:58 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:58 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:58 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:59 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:59 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:59 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:59 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:00 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:00 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:00 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:01 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
