127.0.0.1 - - [07/May/2014:16:51:23 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [07/May/2014:16:55:07 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.6967259699291705 HTTP/1.1" 200 35852
143.107.162.166 - - [07/May/2014:16:55:07 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.9976591796313788 HTTP/1.1" 200 55682
143.107.162.166 - - [07/May/2014:16:55:11 -0300] "GET /remoto/synapse.do HTTP/1.1" 200 14328
143.107.162.166 - - [07/May/2014:16:55:14 -0300] "GET /remoto/results.do?opt=chart_img HTTP/1.1" 200 18946
143.107.162.166 - - [07/May/2014:16:55:14 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=rnwatanabe_19&id=0.3301771313902685 HTTP/1.1" 200 24248
143.107.162.166 - - [07/May/2014:16:55:17 -0300] "POST /remoto/results.do HTTP/1.1" 200 102470
143.107.162.166 - - [07/May/2014:16:55:17 -0300] "GET /favicon.ico HTTP/1.1" 404 973
143.107.162.166 - - [07/May/2014:16:55:17 -0300] "GET /favicon.ico HTTP/1.1" 404 973
143.107.162.166 - - [07/May/2014:16:55:19 -0300] "POST /remoto/results.do HTTP/1.1" 200 21808
143.107.162.166 - - [07/May/2014:16:55:20 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=rnwatanabe_19&id=0.34764812612408424 HTTP/1.1" 200 27041
143.107.162.166 - - [07/May/2014:16:55:21 -0300] "POST /remoto/results.do HTTP/1.1" 200 21807
143.107.162.166 - - [07/May/2014:16:55:22 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=rnwatanabe_19&id=0.5251613828948751 HTTP/1.1" 200 28528
143.107.162.166 - - [07/May/2014:16:55:25 -0300] "GET /remoto/input.do HTTP/1.1" 200 25321
143.107.162.166 - - [07/May/2014:16:55:25 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.3764422873991219 HTTP/1.1" 200 38974
143.107.162.166 - - [07/May/2014:16:55:25 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.1722551842690615 HTTP/1.1" 200 55682
143.107.162.166 - - [07/May/2014:16:55:30 -0300] "POST /remoto/input.do HTTP/1.1" 200 25321
143.107.162.166 - - [07/May/2014:16:55:31 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.9262046540123435 HTTP/1.1" 200 36314
143.107.162.166 - - [07/May/2014:16:55:31 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.7884807976668691 HTTP/1.1" 200 55682
143.107.162.166 - - [07/May/2014:16:55:32 -0300] "GET /remoto/start.do HTTP/1.1" 200 7365
143.107.162.166 - - [07/May/2014:16:57:32 -0300] "GET /remoto/results.do HTTP/1.1" 200 -
143.107.162.166 - - [07/May/2014:16:57:32 -0300] "GET /favicon.ico HTTP/1.1" 404 973
143.107.162.166 - - [07/May/2014:16:57:32 -0300] "GET /favicon.ico HTTP/1.1" 404 973
143.107.162.166 - - [07/May/2014:16:57:39 -0300] "GET /remoto/results.do HTTP/1.1" 200 -
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/overview.htm HTTP/1.1" 200 7661
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/SpryAssets/SpryTooltip.js HTTP/1.1" 200 29953
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/SpryAssets/SpryTooltip_quickguide.css HTTP/1.1" 200 449
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/downloads.png HTTP/1.1" 200 32639
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/CompleteCircuitry.png HTTP/1.1" 200 87679
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/bg1.jpg HTTP/1.1" 200 561841
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/remoto_top.png HTTP/1.1" 200 96503
143.107.162.166 - - [07/May/2014:16:57:46 -0300] "GET /remoto/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
